"scenario_id","rep","n","alpha","kappa","nu","fitted_model","neighb","parameter","estimate","true_value","bootstrap_se","ci_lower","ci_upper","covered","fit_converged","bootstrap_success","fit_elapsed_seconds","bootstrap_elapsed_seconds"
"S0",34,800,0.06,1,1,"clayton",10,"mean1",-0.199961956646799,-0.2,0.113336098615241,-0.422096628080952,0.0221727147873539,TRUE,TRUE,50,44.0400000000009,1743.66
"S0",34,800,0.06,1,1,"clayton",10,"scale",0.0525144308442408,0.06,0.00729623508266785,0.0382140728594742,0.0668147888290074,TRUE,TRUE,50,44.0400000000009,1743.66
"S0",34,800,0.06,1,1,"clayton",10,"shape",1.03218692185431,1,0.0302988529862979,0.972802261228296,1.09157158248033,TRUE,TRUE,50,44.0400000000009,1743.66
"S0",35,800,0.06,1,1,"clayton",10,"mean",0.326195456618138,0.2,0.075759122614734,0.177710304792906,0.474680608443371,TRUE,TRUE,50,50.1999999999971,1704.11
"S0",35,800,0.06,1,1,"clayton",10,"mean1",-0.322331755881716,-0.2,0.11827333719874,-0.554143237122608,-0.0905202746408238,TRUE,TRUE,50,50.1999999999971,1704.11
"S0",35,800,0.06,1,1,"clayton",10,"scale",0.050996865907863,0.06,0.00714679553948668,0.0369894040455976,0.0650043277701284,TRUE,TRUE,50,50.1999999999971,1704.11
"S0",35,800,0.06,1,1,"clayton",10,"shape",1.01458553529195,1,0.030321733657962,0.955156029373527,1.07401504121037,TRUE,TRUE,50,50.1999999999971,1704.11
"S0",36,800,0.06,1,1,"clayton",10,"mean",0.120647809020796,0.2,0.0752549525977448,-0.0268491877290528,0.268144805770645,TRUE,TRUE,50,51.9199999999983,1818.39
"S0",36,800,0.06,1,1,"clayton",10,"mean1",-0.170075420701699,-0.2,0.110120191463235,-0.385907029940295,0.045756188536896,TRUE,TRUE,50,51.9199999999983,1818.39
"S0",36,800,0.06,1,1,"clayton",10,"scale",0.0608652516731033,0.06,0.00799585670233715,0.0451936605109793,0.0765368428352273,TRUE,TRUE,50,51.9199999999983,1818.39
"S0",36,800,0.06,1,1,"clayton",10,"shape",1.01931252471282,1,0.0301907685401971,0.960139705708444,1.07848534371719,TRUE,TRUE,50,51.9199999999983,1818.39
"S0",37,800,0.06,1,1,"clayton",10,"mean",0.263300355409453,0.2,0.0724956996542787,0.121211395053033,0.405389315765872,TRUE,TRUE,50,47.7899999999936,1792.56
"S0",37,800,0.06,1,1,"clayton",10,"mean1",-0.204939863327328,-0.2,0.103911867162632,-0.408603380532397,-0.00127634612225966,TRUE,TRUE,50,47.7899999999936,1792.56
"S0",37,800,0.06,1,1,"clayton",10,"scale",0.0625193028502479,0.06,0.00813669340548482,0.0465716768222531,0.0784669288782427,TRUE,TRUE,50,47.7899999999936,1792.56
"S0",37,800,0.06,1,1,"clayton",10,"shape",1.057853886664,1,0.0332229964212451,0.992738010219859,1.12296976310815,TRUE,TRUE,50,47.7899999999936,1792.56
